-0.61101 -0.129783 -20.8049 -0.00840887 0.05334 0.04223
-0.61101 -0.125664 3.9492 0.00314668 0.05334 0
-0.61101 -0.128536 28.9396 0.0148646 0.05334 -0.04223
-0.61101 -0.0663541 -75.7572 -0.0262967 0.02667 0.08446
-0.61101 -0.0608003 -26.1094 -0.00958481 0.02667 0.04223
-0.61101 -0.0583141 3.27571 0.00241855 0.02667 0
-0.61101 -0.0592152 32.8151 0.0148541 0.02667 -0.04223
-0.61101 -0.0652449 82.1693 0.0318893 0.02667 -0.08446
-0.61101 0.00285533 -84.3257 -0.0287015 0 0.08446
-0.61101 0.00667363 -32.0895 -0.0110634 0 0.04223
-0.61101 0.00864857 2.65473 0.00226637 0 0
-0.61101 0.0080948 37.6949 0.0156724 0 -0.04223
-0.61101 0.00376149 89.8371 0.0338737 0 -0.08446
-0.61101 0.0718581 -102.609 -0.0348347 -0.02667 0.08446
-0.61101 0.0761318 -39.8694 -0.0132706 -0.02667 0.04223
-0.61101 0.0775309 1.9359 0.00164846 -0.02667 0
-0.61101 0.0763843 44.127 0.0183637 -0.02667 -0.04223
-0.61101 0.0727036 106.487 0.0387373 -0.02667 -0.08446
-0.61101 0.144488 1.01554 0.00160947 -0.05334 0
