#x (const) (y|a) (y|aa)
-4.39224e+02 0.00322005 0.00780055 0.00166822 0.0233635 0.189191
-2.11515e+02 0.00575098 0.0270733 0.00163956 0.0227775 0.213478
#1.16054e+01 0.00176057 -0.0141881 0.0015738 0.0284275 0.544658
2.24459e+02 0.00524647 0.0459473 0.00148066  0.0214048 0.679671
4.20254e+02 0.00462368 0.0719365  0.00141382 0.00390057 0.969076
