0.01 -207.143 -0.0525
0.01 -212.308 -0.0515
0.01 -212.037 -0.0505
0.01 -211.958 -0.0495
0.01 -211.471 -0.0485
0.01 -210.976 -0.0475
0.01 -210.527 -0.0465
0.01 -210.027 -0.0455
0.01 -209.36 -0.0445
0.01 -209.049 -0.0435
0.01 -208.512 -0.0425
0.01 -208.362 -0.0415
0.01 -207.808 -0.0405
0.01 -207.502 -0.0395
0.01 -207.201 -0.0385
0.01 -206.938 -0.0375
0.01 -206.6 -0.0365
0.01 -206.451 -0.0355
0.01 -206.273 -0.0345
0.01 -205.932 -0.0335
0.01 -205.836 -0.0325
0.01 -205.649 -0.0315
0.01 -205.484 -0.0305
0.01 -205.294 -0.0295
0.01 -205.126 -0.0285
0.01 -205.029 -0.0275
0.01 -204.943 -0.0265
0.01 -204.683 -0.0255
0.01 -204.73 -0.0245
0.01 -204.704 -0.0235
0.01 -204.682 -0.0225
0.01 -204.74 -0.0215
0.01 -204.625 -0.0205
0.01 -204.708 -0.0195
0.01 -204.552 -0.0185
0.01 -204.527 -0.0175
0.01 -204.583 -0.0165
0.01 -204.632 -0.0155
0.01 -204.676 -0.0145
0.01 -204.634 -0.0135
0.01 -204.766 -0.0125
0.01 -204.82 -0.0115
0.01 -204.771 -0.0105
0.01 -205.105 -0.0095
0.01 -204.977 -0.0085
0.01 -205.075 -0.0075
0.01 -205.294 -0.0065
0.01 -205.437 -0.0055
0.01 -205.507 -0.0045
0.01 -205.573 -0.0035
0.01 -205.785 -0.0025
0.01 -205.913 -0.0015
0.01 -206.207 -0.0005
0.01 -206.317 0.0005
0.01 -206.682 0.0015
0.01 -206.772 0.0025
0.01 -206.985 0.0035
0.01 -207.147 0.0045
0.01 -207.506 0.0055
0.01 -207.648 0.0065
0.01 -208.058 0.0075
0.01 -208.3 0.0085
0.01 -208.372 0.0095
0.01 -208.82 0.0105
0.01 -209.151 0.0115
0.01 -209.32 0.0125
0.01 -209.595 0.0135
0.01 -209.87 0.0145
0.01 -210.293 0.0155
0.01 -210.538 0.0165
0.01 -210.905 0.0175
0.01 -211.181 0.0185
0.01 -211.551 0.0195
0.01 -211.931 0.0205
0.01 -212.451 0.0215
0.01 -212.762 0.0225
0.01 -213.152 0.0235
0.01 -213.481 0.0245
0.01 -214.057 0.0255
0.01 -214.497 0.0265
0.01 -214.918 0.0275
0.01 -215.523 0.0285
0.01 -215.923 0.0295
0.01 -216.509 0.0305
0.01 -216.984 0.0315
0.01 -217.491 0.0325
0.01 -218.18 0.0335
0.01 -218.816 0.0345
0.01 -219.554 0.0355
0.01 -220.176 0.0365
0.01 -220.822 0.0375
0.01 -221.523 0.0385
