-439.283 0.0155844 0.00264859 0.000918111
-439.283 0.00779221 0.00271417 0.0010375
-439.283 0 0.00312365 0.00129795
-439.283 -0.00779221 0.00302375 0.0016743
-212.974 0.0155844 0.00437417 0.0010375
-212.974 0.00779221 0.00449443 0.00118011
-212.974 0 0.00524476 0.00147044
-212.974 -0.00779221 0.00559459 0.0019664
11.4665 0.0155844 0.00227034 0.00116569
11.4665 0.00779221 0.00199059 0.00133824
11.4665 0 0.00179023 0.00164837
11.4665 -0.00779221 0.000942953 0.00259154
229.785 0.0155844 0.00442604 0.00129688
229.785 0.00779221 0.00455251 0.00147484
229.785 0 0.00510935 0.00184759
229.785 -0.00779221 0.0067299 0.00305147
420.236 0.0155844 0.00453524 0.00138324
420.236 0.00779221 0.00493938 0.00164313
420.236 0 0.00563521 0.00216354
420.236 -0.00779221 0.00840776 0.00381716
