#x a aa aaa aaa
14.4776 -31.4577 -5248.71 57463.8 -1.17444e+06 
223.403 220.645 -9976.77 138348 -1.28962e+06 
-206.303 -178.803 -4396.13 -3772.07 -692746 
423.634 864.97 -22623.6 270511 -1.56137e+06 
-436.297 -308.362 -5841.62 -66566.2 -884519 
