Run Number	BLP1	BLP2	Spin	Beam Intensity	GR Trigger	GR Trigger Live	GR Clock	GR Clock Live	LAS Trigger (Broken Channel)	LAS Trigger Live	LAS Clock	LAS Clock Live	GR Singles Event	LAS Singles Event	GR-LAS Coincidence	LAS Singles Sampling	LAS Trigger	GR Singles Sampling	N/U	BLP1 Left	BLP1 Right	BLP1 Up	BLP1 Down	BLP1 Left  Chance	BLP1 Right Chance	BLP1 Up    Chance	BLP1 Down  Chance	BLP2 Left	BLP2 Right	BLP2 Up	BLP2 Down	BLP2 Left  Chance	BLP2 Right Chance	BLP2 Up    Chance	BLP2 Down  Chance	BLP Clock	BLP Clock Live	BLP Trigger	BLP Trigger Live	Akimune Up	Akimune Down	Akimune Left	Akimune Right	Beam Loss Monitor 1	Beam Loss Monitor 2	Beam Loss Monitor 3	GR Scintillator 1	BI Range #1	BI Range #2	BI Range #3	BI Range #4	V830 Test #0	V830 Test #1	V830 Test #2	V830 Test #3	V830 Test #4	V830 Test #5	V830 Test #6	V830 Test #7	V830 Test #8	V830 Test #9	V830 Test #10	V830 Test #11	V830 Test #12	V830 Test #13	V830 Test #14	V830 Test #15	V830 Test #16	V830 Test #17	V830 Test #18	V830 Test #19	V830 Test #20	V830 Test #21	V830 Test #22	V830 Test #23	V830 Test #24	V830 Test #25	V830 Test #26	V830 Test #27	V830 Test #28	V830 Test #29	V830 Test #30	V830 Test #31
2081	IN	IN	UNPOL	625584	5408036	4835092	12800570	12234205	0	101623789	12800570	12343990	4405591	101197172	426613	404790	109275791	440559	0	122493	134086	334777	188481	41678	47813	240968	96252	96973	93179	95328	96202	1114	1081	1065	1156	12800445	760896	1583472	92210	3421845	651172	1308571	547396	0	212772	141	0	32622499	34222443	0	33992782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625584	5408037	4835092	12800570	12234205	109275795	101623789	12800570	12343990	4405591	101197172	426613	1275	0	440559	0
2082	IN	IN	UNPOL	1750226	14333393	12797516	36735157	35230907	0	283528072	36735157	35531309	11696395	282434214	1093855	1129738	304126795	1169639	0	318501	348717	771633	461136	92553	105166	523731	206313	272600	260716	266614	269024	2927	2957	3031	3166	36734881	2560508	3891107	261712	8497298	1673531	3240776	1298121	0	619951	265	0	92536630	97050058	0	96482530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750227	14333393	12797516	36735158	35230907	304126803	283528072	36735158	35531309	11696395	282434214	1093855	3659	0	1169639	0
2083	IN	IN	UNPOL	1605187	9731994	9369364	36391449	35168985	0	259681820	36391448	35423884	8713018	259030064	651748	1036120	275370193	871301	0	289290	314861	651220	412218	77329	88173	420896	177029	246991	243393	249225	247229	2632	2524	2604	2694	36391171	3072324	3413111	255189	4625868	1372327	2321091	1172905	0	641564	787	0	87840722	91751357	0	91512538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1605187	9731994	9369364	36391450	35168985	275370197	259681820	36391450	35423884	8713018	259030064	651748	3625	0	871301	1
2084	IN	IN	UNPOL	1682458	11039443	10589012	36190404	34849261	0	290425305	36190405	35134891	9764972	289606910	818385	1158428	308447272	976496	0	341128	375378	928975	532740	120258	137675	676555	282795	258603	254332	260625	260187	2799	2742	2806	2897	36190127	2226028	4414680	260149	6305618	1842488	3262160	1644656	0	659573	1521	0	89544620	94100264	0	93909827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682458	11039445	10589012	36190406	34849262	308447284	290425305	36190406	35134891	9764972	289606909	818385	3605	0	976496	12
2085	IN	IN	UNPOL	1654047	13021785	12388989	36945008	35359660	0	335271649	36945007	35690216	11266111	334156623	1115020	1336627	357855352	1126613	0	342924	378776	967367	542678	127564	145308	714949	299238	254220	249747	255477	255488	2858	2961	2778	2853	36944760	2419529	4517199	264440	7520736	2260839	3560019	1687806	0	715925	1479	0	94309492	99976698	0	99946810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1654047	13021785	12388989	36945007	35359660	357855358	335271649	36945007	35690216	11266111	334156621	1115020	3680	0	1126613	3
2086	IN	IN	UNPOL	1589836	12545173	11859787	36222530	34396713	0	414219716	36222530	34776521	10620917	412988138	1231558	1651952	465950515	1062092	0	325654	358882	913490	515481	117686	135094	670181	279337	243447	240329	245695	244823	2716	2550	2546	2717	36222269	2501322	4271905	258255	7005804	2109646	3276133	1510381	0	717355	1205	0	94583431	100206709	0	100203611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589836	12545173	11859787	36222530	34396713	465950538	414219716	36222530	34776521	10620917	412988138	1231558	3608	0	1062092	0
2087	IN	IN	UNPOL	287844	2780054	2625758	7469021	7093325	0	85657210	7469021	7173380	2340653	85373775	283431	341495	96661231	234066	0	45080	49213	78132	58495	7648	8943	39293	16853	43975	43881	44893	44838	446	469	441	473	7468962	828989	481900	50846	650861	200572	311055	138103	0	145258	37	0	19755361	21016619	0	21031025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287844	2780054	2625758	7469022	7093325	96661236	85657210	7469022	7173380	2340653	85373775	283431	744	0	234066	0
2088	IN	IN	UNPOL	907571	8837786	8177694	18100234	16830294	0	271524207	18100234	17081913	7087753	270440830	1083367	1081762	310678235	708777	0	192069	212547	556164	308971	74798	85570	419671	175484	138379	136672	140179	139783	1649	1707	1637	1819	18100105	948724	2570507	131378	3255817	916444	1886494	941449	0	368097	899	0	51476449	55352389	0	55389017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907571	8837787	8177694	18100234	16830294	310678241	271524207	18100234	17081912	7087753	270440830	1083367	1803	0	708777	0
2089	IN	IN	UNPOL	1035491	8595526	7992192	18011178	16822197	0	272025442	18011178	17072539	6926838	270966522	1058914	1083866	309628473	692681	0	198021	217171	502306	298399	65659	74826	353974	150012	159334	154502	158555	158622	2258	2201	2204	2221	18011052	971678	2486680	130501	3165809	908510	1799727	893346	0	376669	675	0	51201645	55010714	0	55051877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1035491	8595527	7992192	18011179	16822197	309628484	272025442	18011179	17072539	6926838	270966521	1058914	1794	0	692681	0
2090	IN	IN	UNPOL	1901424	11858343	11293363	37757310	36126460	0	374461966	37757303	36475432	10250207	373425106	1036853	1493699	418362440	1025020	0	595536	671444	2546298	1186850	343115	392257	2093840	871443	289504	286147	291146	291370	3687	3645	3458	3734	37757082	1850023	9687406	275011	8582155	2360040	5121006	2656723	0	740251	4559	0	96491727	102021835	0	102109730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1901424	11858345	11293363	37757305	36126460	418362451	374461965	37757305	36475432	10250207	373425106	1036853	3761	0	1025020	0
2091	IN	IN	UNPOL	1325719269	1327436971	1327334774	1331362810	1331083084	1342177200	1406592729	1348129993	1347910615	1343923234	1406408340	1342361582	1342434125	1414304445	1342351803	1342177200	77137	86314	233737	127737	30436	35097	174639	73025	55386	54714	55429	55899	709	683	627	714	6756936	416979	1051150	48559	1291176	376170	699891	328839	0	131348	274	0	17567875	18626577	0	18640530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360991	2298572	2183838	6757002	6441405	81595223	72883972	6757002	6509147	1974972	72676348	207616	673	0	197497	0
